OBČINE,2022 Naravni prirast na 1.000 prebivalcev,2021 Bruto prejeti dohodek - SKUPAJ,Ratio 0-20 let,Index
Hodoš/Hodos,0.1979695431472081,0.0320071679620143,0.1874719685357595,0.13914955988166064
Gornji Grad,0.0,0.343577083718894,0.4308451455664698,0.25814074309512125
Kuzma,0.3756345177664975,0.0,0.4674122029518982,0.28101557357279855
Šalovci,0.5634517766497462,0.2234835545330104,0.0729743098517674,0.286636547011508
Kobilje,0.3451776649746193,0.2703590258680923,0.3214998663435285,0.31234551906208
Grad,0.5989847715736041,0.0878067193936908,0.2947278815609627,0.32717312417608585
Gornji Petrovci,0.5736040609137056,0.1906659959610914,0.2287272986134191,0.33099911849607205
Kostel,0.5076142131979695,0.4288857781339655,0.1246659873665439,0.35372199289949297
Osilnica,0.901015228426396,0.1950897177411136,0.0,0.36536831538916986
Štore,0.3604060913705583,0.3472646055786507,0.4808238769411576,0.3961648579634556
Velika Polana,0.5532994923857868,0.3054944320295067,0.3461604350636207,0.40165145315963807
Juršinci,0.416243654822335,0.2491380427843847,0.5513186703367677,0.40556678931449586
Cankova,0.6802030456852792,0.1866800807781706,0.3548271281408213,0.407236751534757
Rogašovci,0.7360406091370558,0.0269385578797442,0.4907838530316931,0.417921006682831
Bovec,0.6776649746192893,0.4003998144417476,0.1820169274291397,0.4200272388300588
Lendava/Lendva,0.6700507614213198,0.3173380380557474,0.3005554186889322,0.4293147393886665
Poljčane,0.5304568527918782,0.3447209247910227,0.4243011804990626,0.4331596526939878
Gornja Radgona,0.6700507614213198,0.242175531910557,0.4014280160254321,0.43788476978576957
Apače,0.7538071065989848,0.1162062631617137,0.4510785429410446,0.44036397090058105
Pesnica,0.5964467005076143,0.3697541679269573,0.3694409643244284,0.4452139442529999
Hrastnik,0.6269035532994924,0.3765226416124979,0.353316759806824,0.4522476515729381
Podlehnik,0.7842639593908629,0.3147095679085319,0.2634943499152482,0.45415595907154765
Ljutomer,0.6294416243654822,0.2980932992762738,0.4374627610343715,0.45499922822537586
