"MERITVE",OBČINE,2021 Bruto prejeti dohodek - SKUPAJ,2021 Dohodek iz dela,2021 Pokojnine,"2021 Starševska nadomestila, družinski in socialni prejemki","2021 Dohodek iz premoženja, kapitala in drugi prejemki"
"Povprečno na prebivalca, bruto (EUR)",SLOVENIJA,14663.73,10890.67,2595.60,731.81,445.64
"Povprečno na prebivalca, bruto (EUR)",Ajdovščina,14199.93,10715.01,2413.46,686.63,384.83
"Povprečno na prebivalca, bruto (EUR)",Ankaran/Ancarano,17034.03,12472.84,3370.84,641.09,549.27
"Povprečno na prebivalca, bruto (EUR)",Apače,10394.25,7362.05,2177.78,733.88,120.54
"Povprečno na prebivalca, bruto (EUR)",Beltinci,12636.22,9331.81,2396.29,802.51,105.61
"Povprečno na prebivalca, bruto (EUR)",Benedikt,13018.42,10714.30,1483.47,734.04,86.61
"Povprečno na prebivalca, bruto (EUR)",Bistrica ob Sotli,12580.65,9613.09,2093.61,z,z
"Povprečno na prebivalca, bruto (EUR)",Bled,16418.17,11616.91,3069.78,624.24,1107.24
"Povprečno na prebivalca, bruto (EUR)",Bloke,14700.43,11259.60,2626.48,z,z
"Povprečno na prebivalca, bruto (EUR)",Bohinj,15073.76,11192.85,2803.75,643.56,433.60
"Povprečno na prebivalca, bruto (EUR)",Borovnica,14420.68,11105.77,2358.11,709.55,247.24
"Povprečno na prebivalca, bruto (EUR)",Bovec,13880.08,9999.91,3074.12,525.97,280.08
"Povprečno na prebivalca, bruto (EUR)",Braslovče,15534.25,11928.27,2532.15,667.15,406.68
"Povprečno na prebivalca, bruto (EUR)",Brda,13361.95,9724.17,2821.00,558.67,258.11
"Povprečno na prebivalca, bruto (EUR)",Brezovica,15927.37,12350.95,2423.21,651.72,501.49
"Povprečno na prebivalca, bruto (EUR)",Brežice,13807.55,10188.93,2606.53,726.27,285.82
"Povprečno na prebivalca, bruto (EUR)",Cankova,11258.66,8024.49,2286.54,887.39,60.25
"Povprečno na prebivalca, bruto (EUR)",Celje,14461.54,10565.20,2702.38,827.32,366.64
"Povprečno na prebivalca, bruto (EUR)",Cerklje na Gorenjskem,15183.03,11719.73,2289.39,691.40,482.51
"Povprečno na prebivalca, bruto (EUR)",Cerknica,14769.36,11274.54,2552.76,658.85,283.21
"Povprečno na prebivalca, bruto (EUR)",Cerkno,14241.54,10494.38,2990.53,575.62,181.00
"Povprečno na prebivalca, bruto (EUR)",Cerkvenjak,13084.55,10524.26,1537.07,z,z
"Povprečno na prebivalca, bruto (EUR)",Cirkulane,13484.90,10485.16,2007.48,z,z
"Povprečno na prebivalca, bruto (EUR)",Črenšovci,12243.16,8992.21,2142.68,z,z
"Povprečno na prebivalca, bruto (EUR)",Črna na Koroškem,14399.79,9502.59,2994.19,z,z
"Povprečno na prebivalca, bruto (EUR)",Črnomelj,13222.52,9612.24,2598.33,811.10,200.84
"Povprečno na prebivalca, bruto (EUR)",Destrnik,13230.70,10395.56,1816.09,z,z
"Povprečno na prebivalca, bruto (EUR)",Divača,14228.21,10872.95,2512.74,662.30,180.23
"Povprečno na prebivalca, bruto (EUR)",Dobje,13251.75,10475.83,1986.76,736.06,53.09
"Povprečno na prebivalca, bruto (EUR)",Dobrepolje,14295.93,10756.96,2551.77,785.01,202.18
"Povprečno na prebivalca, bruto (EUR)",Dobrna,13672.27,10168.05,2351.17,z,z
"Povprečno na prebivalca, bruto (EUR)",Dobrova - Polhov Gradec,14984.30,11678.72,2260.17,639.50,405.91
"Povprečno na prebivalca, bruto (EUR)",Dobrovnik/Dobronak,12102.32,8556.11,2460.02,z,z
"Povprečno na prebivalca, bruto (EUR)",Dol pri Ljubljani,16078.14,12471.35,2429.81,672.04,504.94
"Povprečno na prebivalca, bruto (EUR)",Dolenjske Toplice,15056.62,11556.86,2539.35,633.63,326.78
"Povprečno na prebivalca, bruto (EUR)",Domžale,16008.60,12300.41,2480.60,667.91,559.68
"Povprečno na prebivalca, bruto (EUR)",Dornava,13028.78,9455.62,2092.90,z,z
"Povprečno na prebivalca, bruto (EUR)",Dravograd,14056.58,10487.86,2630.43,716.06,222.23
"Povprečno na prebivalca, bruto (EUR)",Duplek,13385.09,10411.28,2146.39,683.45,143.97
"Povprečno na prebivalca, bruto (EUR)",Gorenja vas - Poljane,13707.56,10776.60,1986.46,769.41,175.09
"Povprečno na prebivalca, bruto (EUR)",Gorišnica,13682.40,10828.84,2025.79,736.72,91.06
"Povprečno na prebivalca, bruto (EUR)",Gorje,13746.68,10128.32,2641.18,725.04,252.14
"Povprečno na prebivalca, bruto (EUR)",Gornja Radgona,11939.35,8504.17,2496.02,797.29,141.86
"Povprečno na prebivalca, bruto (EUR)",Gornji Grad,13183.11,9150.42,3049.94,z,z
"Povprečno na prebivalca, bruto (EUR)",Gornji Petrovci,11307.55,7909.35,2607.32,699.39,91.49
"Povprečno na prebivalca, bruto (EUR)",Grad,10045.91,7054.32,2220.53,685.81,85.26
"Povprečno na prebivalca, bruto (EUR)",Grosuplje,16629.28,12286.41,2297.66,z,z
"Povprečno na prebivalca, bruto (EUR)",Hajdina,13916.21,10551.68,2496.04,644.41,224.09
"Povprečno na prebivalca, bruto (EUR)",Hoče - Slivnica,14550.77,10882.12,2542.53,695.15,430.98
"Povprečno na prebivalca, bruto (EUR)",Hodoš/Hodos,9361.49,5211.33,2847.35,z,z
"Povprečno na prebivalca, bruto (EUR)",Horjul,14849.61,10889.44,2776.34,728.94,454.90
"Povprečno na prebivalca, bruto (EUR)",Hrastnik,13587.21,9485.39,3260.83,707.86,133.14
