"OBČINE",2022 Živorojeni - Skupaj,2022 Živorojeni - moški,2022 Živorojeni - ženske,2022 Umrli - Skupaj,2022 Umrli - moški,2022 Umrli - ženske,2022 Naravni prirast - Skupaj,2022 Naravni prirast - moški,2022 Naravni prirast - ženske,2022 Živorojeni na 1.000 prebivalcev,2022 Umrli na 1.000 prebivalcev,2022 Naravni prirast na 1.000 prebivalcev
"SLOVENIJA",17627,9051,8576,22492,11136,11356,-4865,-2085,-2780,8.4,10.7,-2.3
"Ajdovščina",204,101,103,221,115,106,-17,-14,-3,10.4,11.2,-0.9
"Ankaran/Ancarano",20,17,3,33,25,8,-13,-8,-5,6.1,10.0,-4.0
"Apače",27,15,12,37,19,18,-10,-4,-6,7.6,10.4,-2.8
"Beltinci",56,35,21,104,49,55,-48,-14,-34,6.9,12.8,-5.9
"Benedikt",31,16,15,19,11,8,12,5,7,11.5,7.0,4.4
"Bistrica ob Sotli",10,4,6,14,7,7,-4,-3,-1,7.3,10.2,-2.9
"Bled",64,34,30,75,45,30,-11,-11,0,7.8,9.2,-1.3
"Bloke",12,4,8,25,16,9,-13,-12,-1,7.6,15.8,-8.2
"Bohinj",55,33,22,67,32,35,-12,1,-13,10.0,12.2,-2.2
"Borovnica",33,14,19,30,17,13,3,-3,6,7.1,6.5,0.6
"Bovec",15,10,5,33,15,18,-18,-5,-13,4.8,10.6,-5.8
"Braslovče",36,17,19,44,17,27,-8,0,-8,6.3,7.7,-1.4
"Brda",44,20,24,84,35,49,-40,-15,-25,7.8,14.9,-7.1
"Brezovica",97,57,40,142,70,72,-45,-13,-32,7.6,11.1,-3.5
"Brežice",183,97,86,291,141,150,-108,-44,-64,7.5,12.0,-4.4
"Cankova",14,7,7,24,11,13,-10,-4,-6,8.0,13.7,-5.7
"Celje",401,216,185,503,227,276,-102,-11,-91,8.2,10.3,-2.1
"Cerklje na Gorenjskem",79,36,43,103,46,57,-24,-10,-14,10.0,13.1,-3.0
"Cerknica",114,54,60,153,74,79,-39,-20,-19,9.8,13.1,-3.3
"Cerkno",43,26,17,42,22,20,1,4,-3,9.5,9.3,0.2
"Cerkvenjak",23,13,10,21,10,11,2,3,-1,10.4,9.5,0.9
"Cirkulane",12,4,8,29,12,17,-17,-8,-9,5.1,12.4,-7.3
"Črenšovci",36,21,15,37,23,14,-1,-2,1,9.1,9.4,-0.3
"Črna na Koroškem",25,12,13,33,14,19,-8,-2,-6,7.8,10.3,-2.5
"Črnomelj",123,63,60,168,79,89,-45,-16,-29,8.7,11.8,-3.2
"Destrnik",18,12,6,25,15,10,-7,-3,-4,6.8,9.5,-2.7
"Divača",45,22,23,35,18,17,10,4,6,10.2,7.9,2.3
"Dobje",11,7,4,7,5,2,4,2,2,11.6,7.4,4.2
"Dobrepolje",25,12,13,63,37,26,-38,-25,-13,6.4,16.2,-9.8
"Dobrna",18,8,10,14,6,8,4,2,2,7.8,6.1,1.7
"Dobrova - Polhov Gradec",86,37,49,56,34,22,30,3,27,10.9,7.1,3.8
"Dobrovnik/Dobronak",10,7,3,12,4,8,-2,3,-5,7.9,9.4,-1.6
"Dol pri Ljubljani",54,23,31,48,27,21,6,-4,10,8.5,7.6,0.9
"Dolenjske Toplice",26,9,17,32,12,20,-6,-3,-3,7.3,8.9,-1.7
"Domžale",342,177,165,317,137,180,25,40,-15,9.2,8.5,0.7
"Dornava",24,9,15,37,20,17,-13,-11,-2,8.3,12.7,-4.5
"Dravograd",79,37,42,136,64,72,-57,-27,-30,8.9,15.4,-6.4
"Duplek",54,24,30,59,39,20,-5,-15,10,7.7,8.4,-0.7
"Gorenja vas - Poljane",96,53,43,75,45,30,21,8,13,12.6,9.8,2.8
"Gorišnica",33,17,16,63,30,33,-30,-13,-17,7.9,15.0,-7.1
"Gorje",30,11,19,31,16,15,-1,-5,4,10.8,11.2,-0.4
"Gornja Radgona",57,32,25,109,55,54,-52,-23,-29,6.7,12.9,-6.1
"Gornji Grad",16,11,5,99,53,46,-83,-42,-41,6.3,38.8,-32.5
"Gornji Petrovci",9,7,2,29,13,16,-20,-6,-14,4.5,14.4,-9.9
"Grad",12,3,9,30,18,12,-18,-15,-3,5.9,14.8,-8.9
"Grosuplje",216,111,105,210,84,126,6,27,-21,10.1,9.8,0.3
"Hajdina",33,15,18,23,13,10,10,2,8,8.5,5.9,2.6
"Hoče - Slivnica",78,38,40,130,64,66,-52,-26,-26,6.6,11.0,-4.4
"Hodoš/Hodos",3,z,z,12,6,6,-9,z,z,8.2,33.0,-24.7
"Horjul",34,19,15,67,39,28,-33,-20,-13,11.3,22.3,-11.0
"Hrastnik",51,31,20,121,56,65,-70,-25,-45,5.7,13.5,-7.8
"Hrpelje - Kozina",39,23,16,41,25,16,-2,-2,0,7.8,8.2,-0.4
"Idrija",79,38,41,160,80,80,-81,-42,-39,6.7,13.6,-6.9
"Ig",54,32,22,59,35,24,-5,-3,-2,7.0,7.7,-0.7
"Ilirska Bistrica",88,46,42,167,79,88,-79,-33,-46,6.6,12.5,-5.9
"Ivančna Gorica",196,112,84,133,78,55,63,34,29,11.1,7.6,3.6
"Izola/Isola",119,67,52,214,97,117,-95,-30,-65,7.2,13.0,-5.8
"Jesenice",197,103,94,254,121,133,-57,-18,-39,9.1,11.7,-2.6
"Jezersko",8,2,6,7,5,2,1,-3,4,12.2,10.7,1.5
"Juršinci",22,11,11,62,25,37,-40,-14,-26,8.8,24.9,-16.1
"Kamnik",260,138,122,267,129,138,-7,9,-16,8.7,8.9,-0.2
"Kanal",32,21,11,65,39,26,-33,-18,-15,6.1,12.4,-6.3
"Kidričevo",50,28,22,81,34,47,-31,-6,-25,7.6,12.4,-4.7
"Kobarid",31,20,11,46,22,24,-15,-2,-13,7.7,11.4,-3.7
"Kobilje",1,z,z,11,9,2,-10,z,z,1.9,20.8,-18.9
"Kočevje",115,60,55,183,84,99,-68,-24,-44,7.3,11.7,-4.3
"Komen",20,12,8,28,14,14,-8,-2,-6,5.5,7.7,-2.2
"Komenda",68,27,41,32,24,8,36,3,33,10.4,4.9,5.5
"Koper/Capodistria",372,182,190,492,262,230,-120,-80,-40,6.9,9.2,-2.2
"Kostanjevica na Krki",15,11,4,27,13,14,-12,-2,-10,6.1,11.0,-4.9
"Kostel",0,0,0,8,7,1,-8,-7,-1,0.0,12.5,-12.5
"Kozje",29,15,14,41,23,18,-12,-8,-4,9.6,13.6,-4.0
"Kranj",498,275,223,517,263,254,-19,12,-31,8.8,9.1,-0.3
"Kranjska Gora",30,18,12,59,31,28,-29,-13,-16,4.2,8.3,-4.1
"Križevci",38,17,21,50,34,16,-12,-17,5,10.7,14.1,-3.4
"Krško",242,122,120,285,151,134,-43,-29,-14,9.3,11.0,-1.7
"Kungota",34,20,14,46,27,19,-12,-7,-5,6.9,9.4,-2.4
"Kuzma",15,8,7,44,22,22,-29,-14,-15,9.2,26.9,-17.7
"Laško",112,52,60,180,101,79,-68,-49,-19,8.6,13.8,-5.2
"Lenart",75,39,36,172,80,92,-97,-41,-56,8.7,20.0,-11.3
"Lendava/Lendva",82,54,28,145,82,63,-63,-28,-35,8.0,14.1,-6.1
"Litija",133,64,69,150,75,75,-17,-11,-6,8.5,9.5,-1.1
"Ljubljana",2387,1227,1160,2611,1220,1391,-224,7,-231,8.1,8.9,-0.8
"Ljubno",31,17,14,34,19,15,-3,-2,-1,12.3,13.5,-1.2
"Ljutomer",74,33,41,160,88,72,-86,-55,-31,6.7,14.4,-7.7
"Log - Dragomer",31,17,14,24,13,11,7,4,3,8.3,6.5,1.9
"Logatec",160,71,89,156,68,88,4,3,1,10.8,10.6,0.3
"Loška dolina",25,10,15,33,19,14,-8,-9,1,6.9,9.2,-2.2
"Loški Potok",16,8,8,30,16,14,-14,-8,-6,9.1,17.0,-8.0
"Lovrenc na Pohorju",13,9,4,31,13,18,-18,-4,-14,4.4,10.5,-6.1
"Luče",12,2,10,10,5,5,2,-3,5,8.2,6.8,1.4
