OBČINE,Ratio 0-20 let
SLOVENIJA,0.5537977534518472
Ajdovščina,0.7034883063879512
Ankaran/Ancarano,0.3751914650491901
Apače,0.45107854294104466
Beltinci,0.4889095180230889
Benedikt,0.7799312670257043
Bistrica ob Sotli,0.4433704975114516
Bled,0.44533828648381985
Bloke,0.5703253267308783
Bohinj,0.4954011688635323
Borovnica,0.7719923300878474
Bovec,0.1820169274291397
Braslovče,0.6458027934166934
Brda,0.4858085590818711
Brezovica,0.7730047096399905
Brežice,0.46918143942916535
Cankova,0.3548271281408213
Celje,0.5111044417506843
Cerklje na Gorenjskem,0.7181064003939707
Cerknica,0.6401473482813239
Cerkno,0.5808506332086358
Cerkvenjak,0.5625178079305051
Cirkulane,0.36850863530730743
Črenšovci,0.5282900001608845
Črna na Koroškem,0.31431634329822844
Črnomelj,0.5520124920229488
Destrnik,0.551085205951035
Divača,0.5143571454438973
Dobje,0.7497565543168866
Dobrepolje,0.6261441944443081
Dobrna,0.6508659168715353
Dobrova - Polhov Gradec,0.8044843809167694
Dobrovnik/Dobronak,0.4302130074443121
Dol pri Ljubljani,0.8035203808174123
Dolenjske Toplice,0.6272346082854041
Domžale,0.7127021643736022
Dornava,0.48351506620805473
Dravograd,0.5146755727694647
Duplek,0.5512622250541295
Gorenja vas - Poljane,1.0
Gorišnica,0.5670825160189642
Gorje,0.5791652508015984
Gornja Radgona,0.4014280160254321
Gornji Grad,0.4308451455664698
Gornji Petrovci,0.22872729861341917
Grad,0.2947278815609627
Grosuplje,0.7797436577542043
Hajdina,0.5475542056426913
Hoče - Slivnica,0.5278951611945607
Hodoš/Hodos,0.18747196853575956
Horjul,0.8135717563922407
Hrastnik,0.353316759806824
Hrpelje - Kozina,0.5010533701581343
Idrija,0.5029598399381127
Ig,0.7941501828768904
Ilirska Bistrica,0.4188583755142343
Ivančna Gorica,0.8139698837218051
Izola/Isola,0.46563428938773005
Jesenice,0.531888514067494
Jezersko,0.6352380802247387
Juršinci,0.5513186703367677
Kamnik,0.6836717210325179
Kanal,0.430574859632912
Kidričevo,0.5440686918718174
Kobarid,0.4567032024989002
Kobilje,0.32149986634352856
Kočevje,0.5220591862606344
Komen,0.44348164921633487
Komenda,0.9316926058537596
Koper/Capodistria,0.5151764043649859
Kostanjevica na Krki,0.5572073232983932
Kostel,0.12466598736654397
Kozje,0.499079374289435
Kranj,0.6277500077121063
Kranjska Gora,0.2736050132019516
Križevci,0.39312472827717826
Krško,0.6231044395340692
Kungota,0.4983316265018086
Kuzma,0.4674122029518982
Laško,0.48842400875466124
Lenart,0.5169586473763862
Lendava/Lendva,0.30055541868893226
Litija,0.608523422188642
Ljubljana,0.5085632453418408
Ljubno,0.617165983145209
Ljutomer,0.4374627610343715
Log - Dragomer,0.4985903688644255
Logatec,0.8093477365185529
Loška dolina,0.47864384896716466
Loški Potok,0.4901080945187531
Lovrenc na Pohorju,0.4594455410933602
Luče,0.5125690428798974
Lukovica,0.8348411352115785
Majšperk,0.5031993333323566
Makole,0.47321946069778
Maribor,0.3831418967647506
Markovci,0.5451414886080519
Medvode,0.6664641834072289
Mengeš,0.7056057870982057
Metlika,0.5455661214013178
Mežica,0.43116290578839367
Miklavž na Dravskem polju,0.5210654406787852
Miren - Kostanjevica,0.5406304606682163
Mirna,0.6459063091904396
Mirna Peč,0.7863025084193528
Mislinja,0.5394526799899426
Mokronog - Trebelno,0.7371052005720062
Moravče,0.8350165569523424
Moravske Toplice,0.35627680944901235
Mozirje,0.633409107080859
Murska Sobota,0.3640718901616485
Muta,0.5280722668039468
Naklo,0.6565329711970658
Nazarje,0.5307198689822136
Nova Gorica,0.48200532603207125
Novo mesto,0.6957018153465266
Odranci,0.5816212846783823
Oplotnica,0.6453978849901497
Ormož,0.4433952285073861
Osilnica,0.0
Pesnica,0.3694409643244284
Piran/Pirano,0.29354581572798993
Pivka,0.5568405563111143
Podčetrtek,0.6275328924745249
Podlehnik,0.2634943499152482
Podvelka,0.44954218861620415
Poljčane,0.4243011804990626
Polzela,0.6300923140420925
Postojna,0.672184581050872
Prebold,0.6046713421353673
Preddvor,0.7059129579741379
Prevalje,0.5196140996476782
Ptuj,0.42247578422919635
Puconci,0.4673139090970654
Rače - Fram,0.6528313498928204
Radeče,0.4683639850514986
Radenci,0.33423379775675094
Radlje ob Dravi,0.524693813973072
Radovljica,0.5734491052698504
Ravne na Koroškem,0.4714132988826478
Razkrižje,0.5377520588428473
Rečica ob Savinji,0.4712172658424169
Renče - Vogrsko,0.48348699263580835
Ribnica,0.7010250631240101
Ribnica na Pohorju,0.4932262872384667
Rogaška Slatina,0.48908936961139005
Rogašovci,0.49078385303169314
Rogatec,0.4640762374703868
Ruše,0.39788162843238173
Selnica ob Dravi,0.43261986489338305
Semič,0.5582648115765763
Sevnica,0.5038901507142112
Sežana,0.4866058808494988
Slovenj Gradec,0.5871312919679897
Slovenska Bistrica,0.601715994519526
Slovenske Konjice,0.6042261220873099
Sodražica,0.8114778392801018
Solčava,0.5693431239053492
Središče ob Dravi,0.3929917561187806
Starše,0.45001928400772645
Straža,0.578513426564599
Sveta Ana,0.6229640256627434
Sveta Trojica v Slov. goricah,0.4728964486334317
Sveti Andraž v Slov. goricah,0.6259661714636358
Sveti Jurij ob Ščavnici,0.6353986456659677
Sveti Jurij v Slov. goricah,0.5532692285576755
Sveti Tomaž,0.4079816977036041
Šalovci,0.07297430985176745
Šempeter - Vrtojba,0.4940069425446942
Šenčur,0.741422631679891
Šentilj,0.4877476746137314
Šentjernej,0.7973672788813185
Šentjur,0.5969088955312903
Šentrupert,0.4547614643987111
Škocjan,0.8780218392492528
Škofja Loka,0.6929947890737999
Škofljica,0.8016358642053518
Šmarje pri Jelšah,0.6495083407659477
Šmarješke Toplice,0.6061161878750531
Šmartno ob Paki,0.5904063950583441
Šmartno pri Litiji,0.6769949835300715
Šoštanj,0.5390255482666905
Štore,0.48082387694115764
Tabor,0.7659109347493313
Tišina,0.42646510223273754
Tolmin,0.4438199243103432
Trbovlje,0.3706461732974012
Trebnje,0.7401049461419477
Trnovska vas,0.7610084450341948
Trzin,0.6669902890888431
Tržič,0.4964807856528427
Turnišče,0.3935941490821774
Velenje,0.5774367090028335
Velika Polana,0.3461604350636207
Velike Lašče,0.7294349371046605
Veržej,0.5130556858862557
Videm,0.4538855990984855
Vipava,0.7489725310485251
Vitanje,0.617996595180874
Vodice,0.8401972258360395
Vojnik,0.5914692697552547
Vransko,0.6784815797001039
Vrhnika,0.7039767571037336
Vuzenica,0.5171018746557478
Zagorje ob Savi,0.551949078620519
Zavrč,0.3171754504424465
Zreče,0.5484339866210265
Žalec,0.5263865188198055
Železniki,0.7620991087936129
Žetale,0.4456525619536737
Žiri,0.7072986802144124
Žirovnica,0.5751740079530139
Žužemberk,0.7059143573443775
